"GDP per capita, current prices
 (U.S. dollars per capita)",Japan,United States
2010,45135.796,48586.288
2011,48760.915,50008.108
2012,49175.035,51736.738
2013,40934.756,53245.516
2014,38522.771,55083.507
2015,35005.662,56729.681
2016,39411.424,57839.992
2017,38903.298,59878.72
2018,39850.331,62787.782
2019,40547.967,65077.295
2020,40132.964,63577.341
2021,39933.008,70159.774
2022,33853.804,76343.247
2023,33949.714,80412.41
2024,34554.922,83062.621
2025,36657.457,85876.648
2026,38357.861,88935.38
2027,39899.391,92051.711
2028,42467.477,95301.969